name
deftoi
gunther
hellhulk
migda
naaruu
pratkak
spore
taurill overmind
cori
kara corlon
ala cornin
corr
corrik
lana corrs
vella corse
cort
chay cortess
hylei indrexu cortess
coru
tessala corvae
corwell
corynna
cosa simo
cosdra
recnelo cott
couli
alexis cov-prim
fae coven
aari covitenn
crack-shot aggy
dena cracken
josta cracken
laiurea crafyt
yari cranna-rapier
abagga creel
viera creel
creet
rievale creterk
cristina
jens cross
crowal
crysta
maris csayni
jeela cthon
cuallas
maeve cuilinn
culper
shoaneb culu
cura
curi
currahee
curske
cyndra
joveh d'a alin
krin d'bis
d'lina
teki d'lund
d'qell sisters
d'trel b'rar jok
klinith da
neema-da-boda
vima-da-boda
nataasi daala
lilla dade
belga daeri
daesha
mar daghreb
winfrid dagore
dahara devirsivik norri
yori dahn
dahna
dahnis
zindra daine
daisie
daka
yu dakar
rarta dal
weren dal
daleen
tieka dalken
shassa dalle
dalne
nooni dalvo
dalya
dam-powl
dahlia damask
damaya
carma dame
taria damsin
fieler dan
danalis
danassic
danicla
immi danoo
fasha dansun
lareen dantara
dantaree
nera dantels
chaeloe dantin
danu
sari danzer
isshala daprovan
dar'nala
daraala
timar daragon
darak
dardama
sigel dare
daresha
naomi dargon
dargulli dark jedi
darita
darja
the dark woman
knire dark
darkiss
shannur darkstar
darl
darlen
darling
umolly darm
maranne darmic
darpik
natalie darr
darva
darvla
ameesa darys
belia darzu
dasa
dashar
lahanna dask
daskarta
ravallian dast
dixnet dat
pash davane
haryette davani
myrette davani
nell davengatt
faddaff davenspon
daverda
ganamey davloterra
mara davos
kherr dawar
dawn
alison dawn
raleigh dawn
torsha dawun
meli day
dayana
alta dayson
dellalo dayson
kuuda de nall
deathstick
deboer
sinya deboora
debrelle
dedra
deehan
deek-deek
deeka
deela
deerna
dasha defano
orla defra
anii degarienne
tarin dehallo
deila
wandara dekort
cambra del
dela
narissa delau
delequia
ria deleru
deleta
delia
delinna
dellen
lazna delothrea
delphine
kanna deltic
lorica demaris
dena
riva denais
doma dendra
anophe dengue
loru denholt
denic
evie denigh
denira
rida denru
deprovan
kian derar
solla deremot
duenna derida
terra derida
feelah derin
vella derwayne
ubin des
desdemona
feebee desnand
desora
oma dessain
destha
daro desyk
o'choa detera
jenn devaad
varel devay
deveren
devi
devir
hallena devis
armin devonan
salial devrays
selima dewitt
dewlannamapia
setali dexsoreco
dhina
dhol
winna di yuni
di'hal'uma
di'reni
dia
diala
diax
marit dice
dicer
dician
didjoa
dielo
diida
arali dil
cilia dil
dillan
dilpram
jeela dine
hanna ding
zal dinnes
dinube
diona
dina dipurl
vydel dir'nul
dirneele
distant star
elana divini
eyl dix
lob dizz
selma djor
erisi dlarit
haum do
dobah
dobbis
dobe
dashira dobeq
dobi
forn dodonna
ghitsa dogder
doimo
shanda dok
tis dolan
sarra dolas
reesa doliq
cyria dombasle
dominique
domisari
lysire donabelle
rissa donar
shaala doneeta
miranda doni
jericho donovan
josephine donovan
maite dooku
kostanza dooku
tee-ubo doole
kannen doom
melsa dor
dora mar
jae doraan
dorae
preela dorat
dordi
kiki dorente
vana dorja
dorlin
dorma
dorota van reeple
kinsa doroturo
dorset
doshanalawook
hanna doshun
mother doshun
dossa
dotyk
double time
febull dow
kat dowani
doyan
torra doza
nagem dr'lar
krynda draay
draba
dracmus
yancee drai
klorma draill
hyra dram
pram dramango
drand
tso sook drane
vicca drane
magash drashi
halle dray
rylee dray
zar draya
biana drayce
drayneen
drayson
bhindi drayson
nareel dre'lara
sarvada dream
dreda
dree-tekes
dreena
madon drees
dana dregond
drenna
dresdema
drixa dreul
driggit parse
mekus drin
drixo
dro-nal-pru
droe
pima drolley
dromika
calliope drouth
dall thara dru
drua
fenella druce
drusa
isila drutch
ezra du're
ur-sema du
duan
annah dublavviane
ducianne
voba duey
mebla dule
dullourr
dumas mar'ti
carasynthia dune
oba dunimea
coba dunivee
aveca dunn
mahtee dunn
karenna dunnels
kaesii dupree
laita durake
isa durand
g'mai duris
armanda durkin
keya durns
shobbo durron
aalia duu-lang
mahg-raet duumont
dwitzel
dwoogan
dya-tamm
aneesa dym
coraline dynes
dyoh
myleena dystra
tereez dza'lar
andria e'liyha
e'noro
earll
ebbak
ebbe casset
eccos
ayn eckener
ederlatth nataasias pallopides
edie
jude edivon
sayama edosun
edrii
droza edthatt
bora edtuth
edvaalda
edwig
eeginny
eeksa
fask eelak
eelie
eemee
eerena
bant eerin
eesmu
zelebitha effhod
egan
egara
keela egast
ophi egra
joi eicroth
noblesse eiram
cesi eirriss
ekay
nav ekhat
anyza ekull
elaiza
elan
bela elar
elda
eldr'har
jeswi ele
eleera soi
sardeya elgrin
eliaora
elicia
eliimy
elin
elinda
elise
eliya
elkan
ellamak
ellen
ellice
ellik
selan ellison
marren elna
eloa
elod'al'vumic
cyrstas eloinie
elsah'sai'moro
morgan elsbeth
jia elskni
em'tora viii
ema
emala
emarra
ember
emim'ai
emlita
rayche emperva
raktha empor
wollwi enan
enara
charis enasteri
nadra enasteri
enchantress
dyni endarsin
ender
amret engell
enowyn
ensa
the entity
tallisibeth enwandung-esterhazy
enyo
eorn
eprill
epsilon six
cath erangris
min erethen
brixie ergo
erils
eritha
erkens
erla
daralla errine
lyra erso
finn ertay
mila escalus
eseni
niiriit esh
esla
esmin darr
moreem espara
espernia
esrai
bab esrus
tertra essa
jeigh esse
essenton
essovin
isplourrdacartha estillo
estoc
eeusu estornii
ushka et
halla ettyk
eulyn
eureka
eurus
evgenia
allandria evlan
allexia evlan
voyce evlen
eyleen
ezeraline
f
mindt f'abul
arjon f.m.p.
fa-loh-sui
facee
fadime
fadoop
morna faenarm
maris fahrs
fai
laranna fain
anora fair
faiza
morana fal
falena
reina faleur
falkun
fall topas
euraana fall
keura fallatte
mellora falon
duanna falos
falshoi
falung
famma
fanry
jonra far
fara
lu-reen faraday
farana's folly
sophia farash
farenan
kitha farlander
kendara farlion
farlonn's padawan
gelly farls
farnay
kalyn farnmir
karyn faro
samoc farr
toryn farr
kanda farral
sheekla farrs
jill farseeker
sai'torr kal fas
dakka fasser
fastidima
fatil
shirlee faughn
fauja
yurdak fav
arissa fawn
alara fax
fay
annadale fayde
faylee
fe
karin featherlight
fee-na
feez
kayala fei
fej
nilya fek'ra
barma fel'lona
felana
feleema
felicia
cyra felix
tine felix
fellil
fellion
felsing
piani felswoop
madel felth
daria felton
femi
femmi
femon
fen'po
fend'allomin
feng
byra fenn
fiav fenn
rori fenn
ubbal fenn
fenna lev
serena fenner
raskta fenni
astrid fenris
freya fenris
fera
ko-tun feralo
maris ferasi
fereden
ferlan
thaya ferr
ferra
taza ferral
ferreges
ferrel
annbri fesdry
fessi
arla fett
fetya
amatha fetz
maja fey'ja
escra fey'lya
sona fey'lya
feyenn
jen feyer
feyra akaris
melodia fharn
bant'ena fhernan
mata fhernan
sandala fi
fianna
b'inka fibuna
filla
filly
lika fimente
fingers
aleema finn
finvarra
rina fio
fiona
fiorna
mirana fioro
tattyra firewell
sirenas firil
first
first duchess
first queen mother
aquella firth
fbinti fith
fitz
sharina fizark
flangolial
margo flarestream
slag flats
geraldine fleitcher
flensia
flitta
jes flon
floria
florinda jackard
flower queen
shakfa flufm
flux
fola
tema folaris
foolookoola
devan for'deschel
fora
anya foravis
condren foreck
lujayne forge
myda forge
jace forno
sathme forr
kaina forrel
melanda forswoth
aida forte
forzaa
romina foss
fossil
irin fossyr
halka four-den
fourth sister
fovish
jodelle foxtrain
vereta fraabaal
francine
dania francis
franna
frayne
dariana frayus
hoolar freeb
freema
escara frei
jyn freila
ne'eda frip
frira
fristia
froera
frog lady
frorral
koshka frost
nanna frouj
nelia fry
fryoto
diva funquita
furball
teraeza furloti
futrad
garsa fwip
fy-tor-ana
debor fyalko
fyiona
ickabel g'ont
lin gaava
gabriel
gaccerin
addath gadan
monia gahan
gaiana
forta gair
qimberly gaitag-delio
gaitzi
reina gale
galek
kaye galfridian
nina galfridian
gali
alara galir
galiria
tyla gallamby
anja gallandro
nina gallendo
adi gallia
tas gallin
wen gallo
serise gallorr
rennie gallou
nena gallow
galthra
dana galvason
marinda gan
rinetta gan
imodin ganalya
yith ganar
phylo gandish
ganeed
kindra gann
ganodi
gantika
fan gantree
magda gara
lesi garahe
oon garat
latika garboren
sidonie garen
garma
neena garnet
garowyn
oga garra
ara garren
ixel garsea
izal garsea
garvimm
elin garza
edda gast
liselle gault
veeka gault
myrla gawash
gaya
gchalla
darth gean
geana
kalisa gehnso
kalisa gehnso's padawan
gelba
geles
ann gella
tann gella
oora gellandi
gellus
genarra
pashna genko
phee genoa
sathina genz
jaldine gerams
selnia gergeroe
gerro
gersolik
bazalle geskrond
pra'thima ghan'ta
zam ghanol
ghe'ssa tra'biss
ubialla gheal
feena ghel
fasald ghem
gheyr
ghia
joh'hanna ghibbyyns
nambi ghima
gianna
giarda
gidd
jo'ara gier
gilada
gilch
markus gilder
nahani gillen
gilsaria
cene gilvent
kaya gimm
lexia ginorra
filice ginzork
dara gion
jes gistang
gith
githany
bennun glau
ido glayyd
glena
norrion glidamir
glix
glorificent
glynn-beti
happy go lucky
wona goban
hayde gofai
gola
golanda
helen goldenfield
jeza goloc
gondara
alfreda goot
tatavan gordon
gorgara
ranna gorjaye
gormaanda
gorna
simith gorofila
hart-and-parn gorra-fiolla
gorrlyn
faime gosan
gosta
gozetta
gra'la
grady
gragra
xan grainik
grake
grakkata
lal grallik
parallela grammus
rhomby grammus
grana
granakk
grandea
grandi
grandma drake
granny greenthumb
cellvanta grathan
nasha gravas
makarial gravin
zin graw
carole grawley
katie grawley
dr. gray
meteora gray
grayyshk
grea
great progenitor
meriva greef
lady greelanx
salya greeler
resa greenbark
de-hoff greenley
ta-mara greenley
greeva
maykia grell
grellik
grembae
grenda
grendyl
greni
gria cappo
tetha grig
zel gris
grist
grizela
grollo
nieve gromia
gronil
lassa grovon
yara grugara
mezel grumpken
gruthashaal
gruunelda
alain gryphon
eskella gryton
gthyk
guho
fannis gult
gundruk
chellemi gunn
dara gunto
guri
tyresi gurtt
gurtyl
lanyss gutierrace
kooib-s guvar
gworrall
gwynn
athadar gyad
pendor gyrr
fath h'ray
h'rinnrada
h'sishi
h'tar
krai h'voc
ha'adj
jannie ha'nook
ha'zel
kina ha
caria haal
t'charek haathi
gwen habbert
habria
hachinka
hadiya
darth hadra
raya haedele
korkeal hai
resta shug hai
serra hailey
haki zeophrine
tanis hal
hala
halacia
haleena
rana halion
halle
hallis
halloway
bethelia halvala
shaki hamachil
gerta haman
hamatan
hammerly
icomia hamnet
hanaal
gallura handerin
handro
hanera
tinian hanther
hara
haranexlah
harbinger medical officer
harbinger navigation officer
pomi harchmak
janelle harcourt
lira hardin
scarlet hark
ry harket
edu harn
harp'r
harra
chan harra
hartell
harun
hasalia prederiko
haskit
keriin haslip
nieka haslip
hasquil
mol hastur
shin hati
haveland
mia hawkins
neyla hawkins
kylaena haley
hayna
haze delik
twilit hearth
talie heathe
hedu
soron hegerty
helarin
hele
tanya helios
heljus
hellencha
hellene
helr'ven
heni
henla-vaa
henni
nel henol
hepswick
herana
herat
ardwyl hercho
hereafel
massie herhis
lony hertz
heshtra
solida hesk
hess'irolia'nuruodo
heurys
hev'sin
keela hevis
hewat
lelli hi
hialeah
janson hidreck
glomkettle hierogryph
iliana hilts
takara hilts
hirka
ygabba hise
hissest
hitanaga
morgen hlude'forda
chandra hobat
linesee hoberd
hoclaw
drevveka hoctu
dana hogaan
minda hogaan
hollian
affie hollow
holle
holobet
hurlo holowan
kerra holt
mercia holt
honi
hoojib's foot
hoona
treva horme
scerra horn
zena horne
horsea
houliet
ettal howrider
hrannik
boganni hrul
hua-po
lela hue
andoorni hui
bolabo hujaan
humajum
orma hundeen
dana hunt
hurana
elassa huros
huttbreaker
osaji hux
hwruarca
hyerang
arnell hyland
hyos
hyper hopper
hyshiri
augusta i'att
i'nah
karyn i'yin
anise i'zak
ia
iania
iaphagena
ibtisam
tau idair
idalsa
nikki idd
idda
kendy idele
idonia
ikk
bur'n ikle
tnani ikon
ikree
ildisa
illorus
sana-jis ilowa
ilsa
imani
imarrra
indintra imbru yerevan
imina
imj
diness imler
shanra immel
immich
imperial station captain
alina impeveri
imra
ina
ina'ganet'nuruodo
inaldra's lieutenant
inaya
ind
indara
nola indervin
nell indigo
induran
niamora ingidge
stuvany inglen
ingri
inisa
injaye
ino'olo
iodana
iola
beta ioli
iopiane ratle
reen irana
iridik'k-stallu
irini
iris
irizi'in'daro
dimone irrv
irtanna
isbel
ishla
iskrila
nayva isoder
isolationist queen mother
issa-or
ithila
ives
ivesa
ivey
ixa
ix ixstra
brali ixxis
iyana
izaryx
izby
izosxisli
izrina
j'mi
j'uoch
ja'inn
jaalyn
jaanie
jilljoo jab
tana jadance
maara jade
ryssa jadeonar
jadru
lin jae
jafloya
darth jaga
jagleo
dietrix jago
velko jahen
kada jahr
jai
jaidra
allania jakien
marru jakkar
jaklin
jala
shela jalahafi
jalina
preena jallop
reda jalooz
jalose
jamillia
jamint
big jan
janah
aellyn jandi
maxa jandovar
jandrell
jane
janelle
janese
janeth
janex
jang
janiah
janildakara
neile janna
janner
janor
alto janss
trissa janthir
januaris
jaquilinbella-bessamarte
jara
jardra
jarea
jana jarel
jaren
orla jareni
jari'kyn
jarina
jarna
selby jarrad
jarrilyn
ash jarvee
jatenne
javir
suralinda javos
sarlee jax
ava jaxo
tarth jaxx
jaydyn
jayeena
jayk
jayl
jeanna
briika jeban
dinua jeban
amara jedselk
jayla jee
delta jeet
sachary jeffington
ajoha jeh
jeia
sian jeisel
shel jelavan
jella
jenda
greeata jendowanian
jeni
jenir
losibaru jenks
jenn
shara jenn
jenni
jenny
jenra
sersae jenreal
mrs. jensen
jensu
lyndelah jenwald
jenza
jephego
jeremos
jerga
jerren
jerserra
jeryl
jesha cour
jess
jessamyn
anora jessel
sarria jevad
amber jevanche
bera jeza
jezzable
jezzi
j'hara
jhensara
jhuryx
jhyarra
klaua jik
wildis jiklip
jilain
jilia
jimba
jin-olori
marlaa jinara
jinatte
jinby
j'an ane jinder
tyla jinn
rhalia jinsari
ka'hadith jinwa'a
lorana jinzler
jiona
jiprirr
jira
roget jiriss
jjorg
jo
jo-ahn
jocell
binna jode
cyn jodu
mada johnson
joi
jola
jolee
jolli
jonat
m'a jong
d'nica jongales
klis joo
jooks
jord
joreel
jorelle
josie
sera jossi
jowdrrl
joy
hevasi joy
leeson juben
juda
drakka judarrl
tassida judrelle
jumping jammer
juna helos
alees june
ambre junsen
waria junus
jural
juul
pleth juun
dera jynsol
joli k'atel
aujante k'lee
k'sheek
k-akk
kaadi
kaara
kabe
nyn kablo
arista kabul
hali kadir
deil kadru
arren kae
kaeira
kaevee
kagan
kaguya
anetia kah'ryn
anim kahn
kahranna
tamith kai
kaini
kaink
kais
kait
eldra kaitis
kaiza
kaj
kirames kaj
obs kaj
kakan's brood-mother
kakirk
kako
sosio kakra
kala
kalar'naa
kaldeni
erin kaldo
kalena
belindi kalenda
uma kalidi
kalien kol
kalifa
kirima kalinda
kallabow
henne kallea
athelis kallis
ace kallisto
leanne kallo
darth kallomena
kallyx
kalo'ne
kalveck
kalyn
kamida
kamlin
kammie
lens kamo
bron kand'lar
kandah
entha kandela
kandji
tracene kane
dorvin kanu
kar'wa
karama
gawynn karastee
karen
karena
karis
kariya
karke
anet karl
karla
tian karmiya
daniera karmony
eedy karn
kay karno
karp
karpette
karreio
kartessa
shariss kartur
karte
nera kase
kasey
kasmira
kassen
kassien
kasslan
hundria kast
rook kast
patricia katarn
sa'har kateen
kathlin
katlock
katooni
kay vess
fenn kay'lay
kaydera kay
kei no kay
vasnish kay
kaya
kayana
kayd
kayi
giana kayl
vanara kayl
kaylanna
liash keane
samara kebyc
denaria kee
tas kee
kitik keed'kak
keelak
trehla keelo
enya keen
keena
karena keer
tilath keer
keesa
keeta
riyola keevan
kei
keighlah
keikodi
kel'cy
kela'pi
keldroth
kelek
sakme kelene
noxi kell
kella
luha kellaro
kellin
daria kellner
kelma
mawbo kem
kendle
zinda kent
julynn kentas
keraan
kerri
terisa kerrill
kertas
kesha
keshani
prit kessek
kessra
kestal
keta
sash ketter
dayla kev
kh'ymm
lahka khai
sunnari khall
khandra
sundria khartoor
kharys
kheann
khione
santari khri
khyys
kian
urana kiel
kiili
kiimo
kiizete
rossi kildaon
kilit three
kills
leana kilnar
mey kilrow
chankar kim
hilma kim
selima kim
kimal tin
kimania
kimaru
kimbral
kiisa kimotte
kin'ade
kina-re
henia kinalos
kindra
shanna kinn
deena kinnet
squire kinning
kinuagha
seenlu kir
kiraya tatara
kirbi
kirius
narin kiros
kirrir
kirry
kisha
dresk kist
candra kitai
orielle kitai
bink kitik
tavia kitik
kitmum
kivvaaa
bela kiwiiks
kiwu'tro'owmis
kixiaralu
klanna
klask
edela klauskin
ada klee
arta kleidun
kleyvits
klieri
kliskud
klothow
estah kloy
kalieva k'ntarr
nyris ko
koax
koyi kobad
trea kobbeth
kobble
mair koda
shae koda
valik kodank
aaph koden
hura kogler
kohlbacca
kolara
vit'ash kolk
koyi komad
komi
dorset konnair
lin konpost
adele konya
koobaree
ruku kooff
sha koon
liana kor
kora
sundre korbeth
draya korbinari
damalia korde
korelei
korkresh
jyl korlis
drama korr
vani korr
korryn
alo kortessi
igma korto
korven
kory
koryst
mari kosan
kossex
kosta
lene kostana
pura kotal
yassia koth
koy'tiffin
aimee kraeff
moreena krai
kralla
krallo
krand
krane
yileen krass
stigrit krax
shamdon kree
shaina kreen
kreia
saras krenin
josala krenn
yilon kres
maxig kress
kria
alli krieger
bareen krill
sabata krill
tezzka krim
asli krimsan
angela krin
avar kriss
dezine krisso
krizta
kromer
krosh
darth krovos
moira kruger
kruna
krylind
krynthia
bo-katan kryze
ksana
saya ksi
ktriss
onara kuat
kufbrug
vatri kulan
torani kulda
kalia kulmina
kare kun
incki kunzler
kursma
arsitta kushoe
dren kuu'la
mezhan kwaad
qelah kwaad
pala kwi'teksa
ky'lee
aril kyak
kylaena
kylantha
kymayrr
kyobuk
kyrie
kyrisa
leda kyss
kytoma
c'ar l'andara
shandria l'hnnar
grree l'tharr
bow la
laalee
labine
halsta labiqon
sar labooda
claria labreezle
lachei
darth lachris
lackbar
ladira
lady blue
laera
lagos
lah kara
ellin lah
mei lai
ros lai
lain-ricie
laina
lakansu
lakesis
lakkna
lakris
lalande
janet lalasha
lallani
lalo
nora lam
yigan lam
hailey lamelle
lamia
lana
lucky lana
riga lanchenzoor
landai
enna lands
lilia lands
malory lands
anajul landwil
lanesord
marja lang
lily langtree
lanitha
lanni
raharra lapti
kira lar
incavi larado
larall
larellai
nat lariats
kin laron
jenna lars
miara larte
cira larutur
raa-lyn las
laseema
nakano lash
lashowe
koran lassk
kyla latrel
laudica
lilith laughlin
lauren
laurn
rena laut
annea lavic
gana lavin
lavina
uran lavint
shaeeah lawquane
suu lawquane
layahna
laynara
layneo
ferrika lazerra
lazula
leandra
dutana leara
leddar
ledesmar
ledis
leela
maks leem
thracia cho leem
leeni
leera
leerah
tayala lees
leesa
leeya
leeza
fa'ale leh
lehibe
leidra
delia leighton
leilana
leina
tirsia lek
lekket
lelsk
len'na
cela len
ke len
lena
aryn leneer
vadon lenitor
risi lenoan
lenya
leonie
tepha leonis
lerahel
lerk
nica leross
lesha
lesia
lesina
leska
gin lesl
lessah
shayl le'tah
shia letap
letta
leviani
bina lew
ann margaret lewis
beka lewis
lexi
ley'arsha
jenneh ley
leyel
leyli
lhira
li qiong
li'dali
keanna li'kyna
eelen li
sandara li
jang li-li
li-tan
liadden
lian cerox
jaxa lian
liane
leth liav
kiantryl liawoon
kirkin liawoon
lacnor liawoon
foofice lightingrunner
mahwi lihnn
angmi lihosh
lii
sabaya liistot
lizel liit
miera lij
lika
pysk lila
lilith
lilly
lilta
limm
hola limoth
tarla limpan
lin
lina
linapim
linara
miiliki-spoorr lingsnot
linh
linia
linn
linna
cressis linrec
linsa
iola linst
sindra lintikoor
kallie lintra
tallissan lintra
soka linu
liora
didina lippinoss
kamka lira
lirka
liss
lissar
lissarkh
meera lisso
liv'trai
livliv
loran llalik
saren llalik
lliandri
ame llom
llona
lluda
pefederan lloyn
adre l'mendi
locara
danlea lochner
janissa locrin
lodaka
lodani
vekka lodik
minala lodilyn
loeerna
loell
samala loene
dathnaeya loessin
kylah lohmata
lola
zaree lolvanci
arsha lome
tarania lona
lona-ru
lonaste
tuatara lone
camie loneozner
hagen longmyre
lonni
looda
loonda
loposa
jent loquoy
lorna loquoy
desha lor
lorain
loran
lorana
loranda
lorant
shaultra loraweet
loreeves
henk lorin
loris
kandise lorrir
jana lorso
lorul
loruss
losca
loswilla
m'lay loto
jesra loture
loun
lourdes
hesha lovett
lovey
tasi lowa
inith lowera
loyat
loyood
raskta lsu
lu nan
luce
luen
lujei
zona luka
lulu
luma
lumiya
lunasa
lunatta
aved luun
lunya
luona
kal lup
lurbi
sere lure
lureia
babbnod luroon
gida luroon
lussatte
luta
luunti
lwyll
lyana hazard
lyari
lyla
lynaa
lyne
lynlee
ash lynn
lynnori
lynnta
lyrissa
dasita lyros
borna lys
lyshaa
lyx
m'arshngton
katya m'buele
sandra m'rfee
ma'shraid
ashala ma-dred
sel maa
chachi de maal
grindol maal
zeetara maan
nima maas
sandi maba
maddie macatten
brandy macmillian
zallah macri
macy
mad'ahn
madall
rodma maddel
maddie
tiona madee
madelina
tanya madera
madillis
juahir madras
orf madroo
maediyu
maeve
rendra maex
mafole
magalak
magan
mia magansitty
maggie
alysssa maggrit
aneash maglea
maris magneta
magon
magra-su
elizie magrody
shenna magrody
bellina magwit
maheyya
evil mahjo
du mahn
shu mai
maia
maia lanta
maikia
osae meilea
maire
mairlenn
vamasto maja
majjvara
makall
makara
leria makonel
makta
mal'aa
mala mala
darth maladi
savina besatrix malagan
malare
malarus
malat
lanzarota malco
malessa
malforia
malina
malinna
mallatobuck
jora malli
mallohe
lanah malo
macy malo
darth malora
sheyna malorm
star malorm
whirry malreaux
tir maltu
malussa
mama annie
mama gonk
mama stammoch
mamazooz
manaroo
emlyn mandel
samire mandel
mandi
ziin mandos
tanya mane
kanjil mang
ghitter mannes
di mantid
marina mantis
maradaine
seyn marana
marani
keru marasa
maratelle
reina march
marconea
fora mardec
lina mardec
sale mardec
mareena
mallie marek
tanda marelle
margaret
kina margath
margo
mari
mari-lucen
marialew
mariana
mariin
mariineh
sella marik
marilla
marionette
maritte
mariyk
marka
crysta markon
thera markon
marku
dagga marl
marla
marni
marny
nib maroon
ashdree marq
marquess
adeline marr
marsa
pelissa marsto
camie marstrap
bez martilla
kippy martin
martinique desler
crian maru
demaia maru
mary
marzi
rana mas trehalt
trayca masani
mashallon
peera maso
tralie masoon
enara massar
taska mastigar
droaitas mastowsh
karenza masus
kilindi matako
casandra mateil
koyi mateil
matta
mattin
matto
maureen
mavis
osira mavron
mawin
moda maxa
tayshin maxa
thalia may
ma'ya
todra mayn
maynar
vinya maysor
mazie
palla mazlin
harriet mazoon
keelii mazral
jade mcdonagh
lyn me
jessica meade
ishale meahonon
meala
lady meateye
chanya medaal
medeen
medliuna
gatt medo
kote medrit
meeba
meekeef
sinoca meeku
meela
meelee
meelo
dedra meero
meeva
meggone
reseros meh
tynan ryln mei
meia
meilarra
dana meimonda
meirana
bethanie melan
melana
melarra
ari melast
melee
melikah
melindra
melis shryke
melisma
shyon melkans
melna
meloque
meloria
mem
memcha-badawzi
memily
hagrana memuna
mena
mendegar
mendi dian
menise
yeshiul mepes
mera
veerla mere
kaiya merel
merglyn
merili
mermeia
merra
shyla merricope
lawra mers
dina mertz
mesloto
mestral
narra mesyne
meta
tere metallo
caline metara
gerane metara
mezza
mhar'li
mi
mi'yaric
ehla mi
miaxi
micha
michka
michyl
miduis
mieq
mighella
mignay
miharr
lol miilarta
mika'sai'malloc
miki
mila
kavree mile
millicent
milok
lira mimb
mimi
mimya
min
axkva min
kaila min
mina
darth minax
minder fourteen
mindiz
callista ming
minka
minn
teckla minnau
mintinee
marmio mio
mioe
mir'liss
annette miran
mirev-ka
mirienna
mirisa
mirla
mirrian
mirrix
mire
verala mishar
mishta
miss mylla
missa
lena missa
missy
mitth'ali'astov
mitth'omo'rossodo
mitth'ykl'omi
mittik
sora mobari
yosyro modoll
namala moffat
jozzel moffet
mojyn
lenka mok
mol
wilst molan
moldisin
demma moll
kaddo moll
ubbla mollbro
moloste
reija momen
mona
shalla mondatha
mondrak
monigallgh
monjai
teilo monnro
edallia monotheer
antha mont
elise montagne
mookiee
romi moola
ma moomo
moonanoo
fawn moonraiser
talia moonseeker
gina moonsong
kasan moor
sly moore
tasha moore
moracen
morad'ka
morag
morana
morathax
tilian moravai
vazeen mordraw
elayah mordu
nasi moreno
morfizia
morint
morna
celeste morne
ayo morota
morr
terrak morrhage's master
thera morrow
morrtic
opeli mors
rollo morsai
elloise moru
moshra
mostima
lugubrious mote
cellia moten
mother ves'ad
shilaea motacc
peli motto
larin moxla
mrs. cannison
ms. tafar
mssikss
muglan tarantyne
mugshub
senza mulak
mular'stef
muller
ingah muloha
avia mur
ado mura
murahl
murghir
duska murgo
rith murisson
ru murleen
murthil
mususiel
abara mun
raik muun
muura
muuta
zaluna myder
myem
myette
myinyar
myna
r'ytha myr
myra
myrella
myrial
myssith
the mysterious advisor
iluna mystuk
n'arrghela
massina n'komo
jyn n'oram
n'um
brinaloy n'vaari
j'virgo n'yen
syndil na'marr
na'tala
noirah na
na-jia
naa'leth
naasa
naatke
nabkess
fenig nabon
darth nacheria
nadaa
lora nadad
dara nadal
naddie
zanthe nadia
sari nadle
fandomar nadon
nadrian duquosenne
miru nadrinakar
nadrine
naeshahn
nagme
nagry
lillia nahana
kuma nai
valnir nai
nails
quinlu naj
keela nakay
pell nakay
nakime
nakiya
otol nal
nalan
nali
jaleit nall
janice nall
zeela nall
lela nalle mayn
mya nalle
pala nalle
emie nalmar
ylla nalooma
linna naltree
deran nalual
oniye namada
jaysa namoor
nampi
sheffel nan
nancer
nanchia
nanda
nandina
nannat
nanuth
erbaly nap'tee
lina naras
narawal
narek-ag
leeha narezz
nariba
daen nark
narlissa
narlowe
vell narot
narralla
narston
etha naru
gille narvis
kalee narvis
nashira
amira nasrabi
jaina nassin
nataya
reson nath
natja
gella nattai
navah
navolii
nawika
nayama
chela nayss
fia nazhena
nazish
deja nebet
neda
nedecca
nee
dame needa
neeka-bo
neela
sayer mon neela
pirt neer
neera
neesa
neeta
neeva
neeyutnee
atril neff
nehal
nehanna
neina
larbo nelik
loje nella
nellow
nelly
shalla nelprin
nelsel
rig nema
buula nen
crela nen
nen-ji
syll nenn
zey nep
neralli
mrs. nereno
alkin neret
nerlisha
lila nervi
yraka nes
nesha
enfys nest
nestor
bazine netal
neva
huoba neva
nevana
sistros nevet
ney madiine
ngaaluh
ni'korish
nia
jovel nial
nianla
cha niathal
lassa nibs
kanina nico
kinshan nightbird
jewl'a nightbringer
sard nightbringer
debret nightmoon
nightsister matriarch
nih
mina nihrum
niima
niizo
niki
hatras nikk
nikka xizen
nikollane
blanca nikols
cost niktur
nilesk
nillia
oso nim
nima'tar
nin
vu nin
ninth sister
nintuk
niobi
nioma
ara niorri
niquita
niree
niroida
niru
elexia nis'tar
nishrah
bala nisi
nisotsa
rooper nitani
nitch
nivers
darth nix
niya-ton
nizzal
no mercy
mama nobah
ona nobis
handa nobreg
nocturno
darth noctyss
seib nod
danith nodar
noelle
jaylla noh
cair tok noimm
noira
nokk
lungru nokko vimmas
nola
alikka nolan
otee nom
nooa
nooma
peele noonal
thendys noori
nala noos
mari-elan nora
isela talsava norand
norika
lilea norith
cee norley
sia norrin
korin norrus
galinda norsh
norus-wel
tyrlena norvold
sola nosconda
lara notsil
prenda novallo
aja novar
kendra novar
